Place Name,Lat,Long
Leeds—Grenville—Thousand Islands and Rideau Lakes,44.5923665,-75.6888146
Lethbridge,49.6964497,-112.8351529
London North Centre,42.9913657,-81.250399
London West,42.9551389,-81.2815611
London—Fanshawe,43.0020578,-81.1868931
Long Range Mountains,48.950865,-57.941847
Longueuil—Charles-LeMoyne,45.4767728,-73.4737568
Longueuil—Saint-Hubert,45.5362657,-73.5099725
Louis-Hébert,46.7618941,-71.3338137
Louis-Saint-Laurent,46.8325059,-71.3502249
Lévis—Lotbinière,46.6594978,-71.3239405
Madawaska—Restigouche,48.0043776,-66.6759318
Malpeque,46.3547741,-63.3492976
Manicouagan,49.1968715,-68.2623938
Marc-Aurèle-Fortin,45.5797868,-73.7854578
Markham—Stouffville,43.8788197,-79.2607435
Markham—Thornhill,43.8265138,-79.3491959
Markham—Unionville,43.8448816,-79.3575096
Medicine Hat—Cardston—Warner,50.0126139,-110.6650757
Milton,43.5117264,-79.8838161
Mirabel,45.7007101,-73.9213419
Miramichi—Grand Lake,47.0098096,-65.4684739
Mission—Matsqui—Fraser Canyon,49.1333806,-122.3205622
Mississauga Centre,43.6032591,-79.6490702
Mississauga East—Cooksville,43.613875,-79.6111879
Mississauga—Erin Mills,43.5171734,-79.6953246
Mississauga—Lakeshore,43.5914593,-79.5761473
Mississauga—Malton,43.6489635,-79.6871209
Mississauga—Streetsville,43.6109477,-79.7491774
Moncton—Riverview—Dieppe,46.0906963,-64.7845627
Montarville,45.5766609,-73.3317024
Montcalm,45.7486235,-73.605229
Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,46.9790892,-70.5623626
Moose Jaw—Lake Centre—Lanigan,50.3946249,-105.5365128
Mount Royal,45.4949636,-73.6381847
Mégantic—L'Érable,46.0930052,-71.2985949
Nanaimo—Ladysmith,49.1630318,-123.9378146
Nepean,45.2650936,-75.777477
New Brunswick Southwest,45.1927509,-67.279037
New Westminster—Burnaby,49.2015629,-122.9132031
Newmarket—Aurora,44.0380087,-79.4518642
Niagara Centre,42.9926006,-79.2469651
Niagara Falls,43.1140244,-79.1113444
Niagara West,43.165415,-79.4759307
Nickel Belt,46.4334931,-80.9459813
Nipissing—Timiskaming,46.3139852,-79.4674877
North Island—Powell River,49.843067,-124.528675
North Okanagan—Shuswap,50.2647458,-119.2688708
North Vancouver,49.3084791,-123.0728643
Northumberland—Peterborough South,43.9783139,-78.1705242
Northwest Territories,62.4537151,-114.3656465
Notre-Dame-de-Grâce—Westmount,45.4876365,-73.5861549
Nunavut,63.7478703,-68.5195777
Oakville,43.4475301,-79.6654023
Oakville North—Burlington,43.4356325,-79.7756329
Orléans,45.4807315,-75.5098894
Oshawa,43.8959574,-78.8626041
Ottawa Centre,45.4112381,-75.6884135
Ottawa South,45.3697997,-75.6626275
Ottawa West—Nepean,45.3681702,-75.7858283
Ottawa—Vanier,45.4360776,-75.6620288
Outremont,45.5211339,-73.5941966
Oxford,43.1387417,-80.7493944
Papineau,45.55036,-73.628531
Parkdale—High Park,43.6559531,-79.454892
Parry Sound—Muskoka,45.3374302,-79.2329815
Peace River—Westlock,54.1212038,-114.4037832
Perth—Wellington,43.3542262,-80.9945299
Peterborough—Kawartha,44.3062518,-78.3248045
Pickering—Uxbridge,43.8311346,-79.0970781
Pierre-Boucher—Les Patriotes—Verchères,45.6252063,-73.38107
Pierrefonds—Dollard,45.4751955,-73.8361282
Pitt Meadows—Maple Ridge,49.2169788,-122.6024082
Pontiac,45.5055393,-75.7838447
Port Moody—Coquitlam,49.2487619,-122.8608241
Portage—Lisgar,49.1917963,-98.1190653
Portneuf—Jacques-Cartier,46.743777,-71.4595095
Prince Albert,53.2029552,-105.7564387
Prince George—Peace River—Northern Rockies,56.246689,-120.846551
Provencher,49.5253317,-96.6918659
Québec,46.814705,-71.2213289
Red Deer—Lacombe,52.3808439,-113.7882194
Red Deer—Mountain View,52.2634231,-113.8248586
Regina—Lewvan,50.494183,-104.679438
Regina—Qu'Appelle,50.7685217,-103.7964466
Regina—Wascana,50.4443271,-104.5441962
Renfrew—Nipissing—Pembroke,45.8239662,-77.1136852
Repentigny,45.7190074,-73.4671842
Richmond Centre,49.1710106,-123.1367943
Richmond Hill,43.8630314,-79.3822362
Richmond—Arthabaska,46.056846,-71.9506078
Rimouski-Neigette—Témiscouata—Les Basques,48.4628246,-68.5185298
Rivière-des-Mille-Îles,45.5713482,-73.9111197
Rivière-du-Nord,45.7758046,-74.0028833
Rosemont—La Petite-Patrie,45.5417251,-73.5983566
Saanich—Gulf Islands,48.6469144,-123.3988908
Sackville—Preston—Chezzetcook,44.8031977,-63.604968
Saint Boniface—Saint Vital,49.8756565,-97.1178972
Saint John—Rothesay,45.2729687,-66.0636484
Saint-Hyacinthe—Bagot,45.6234375,-72.9605173
Saint-Jean,45.3043006,-73.2512349
Saint-Laurent,45.5065238,-73.6829836
Saint-Léonard—Saint-Michel,45.5856521,-73.5968065
Saint-Maurice—Champlain,46.6146435,-72.692484
Salaberry—Suroît,45.2540368,-74.1300117
Sarnia—Lambton,42.9715613,-82.3536232
Saskatoon West,52.1295659,-106.683544
Saskatoon—Grasswood,52.1141867,-106.6143298
Saskatoon—University,52.1287544,-106.5892872
Sault Ste. Marie,46.5123029,-84.3345015
Scarborough Centre,43.7471429,-79.2854467
Scarborough North,43.7875436,-79.2705735
Scarborough Southwest,43.7055529,-79.2510838
Scarborough—Agincourt,43.7774635,-79.3121821
Scarborough—Guildwood,43.7472909,-79.2076192
Scarborough—Rouge Park,43.7902081,-79.1742739
Selkirk—Interlake—Eastman,50.1441123,-96.871076
Shefford,45.4029613,-72.7340088
Sherbrooke,45.398378,-71.9156538
Sherwood Park—Fort Saskatchewan,53.5284232,-113.2935076
Simcoe North,44.7508509,-79.8867329
Simcoe—Grey,44.1589125,-79.84729
Skeena—Bulkley Valley,54.7803547,-127.1697983
Souris—Moose Mountain,49.1405761,-102.9943976
South Okanagan—West Kootenay,49.4986051,-119.5925715
South Shore—St. Margarets,44.3842299,-64.5165759
South Surrey—White Rock,49.0369894,-122.8016358
Spadina—Fort York,43.6526355,-79.3983795
St. Albert—Edmonton,53.6343729,-113.626256
St. Catharines,43.163298,-79.240594
St. John's East,47.5880889,-52.7083581
St. John's South—Mount Pearl,47.523364,-52.7741922
Steveston—Richmond East,49.1265764,-123.1889965
Stormont—Dundas—South Glengarry,45.0214291,-74.745278
Sturgeon River—Parkland,53.536306,-114.0032562
Sudbury,46.4918876,-80.9932991
Surrey Centre,49.1909677,-122.8444952
Surrey—Newton,49.140296,-122.8625688
Sydney—Victoria,46.1168013,-60.1951041
Terrebonne,45.6948399,-73.6345953
Thornhill,43.8100617,-79.4620879
Thunder Bay—Rainy River,48.384319,-89.25045
Thunder Bay—Superior North,48.4406579,-89.2456058
Thérèse-De Blainville,45.6411691,-73.8445722
Timmins—James Bay,48.4756295,-81.3368833
Tobique—Mactaquac,45.9944344,-67.2354094
Toronto—Danforth,43.6615552,-79.338426
Toronto—St. Paul's,43.7054561,-79.3966663
Trois-Rivières,46.3404986,-72.5425949
University—Rosedale,43.6667642,-79.4044657
Vancouver Centre,49.2887289,-123.1382003
Vancouver East,49.2810081,-123.0528008
Vancouver Granville,49.2637039,-123.1327274
Vancouver Kingsway,49.2362209,-123.0437768
Vancouver Quadra,49.2635624,-123.1533852
Vancouver South,49.2260627,-123.0655083
Vaudreuil—Soulanges,45.3892774,-74.0146318
Vaughan—Woodbridge,43.8123311,-79.5518266
Victoria,48.4234369,-123.3554496
Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,45.4834678,-73.5803925
Vimy,45.5657646,-73.7546659
Waterloo,43.4633695,-80.5201795
Wellington—Halton Hills,43.7053988,-80.3763257
West Nova,43.8372819,-66.1203876
West Vancouver—Sunshine Coast—Sea to Sky Country,49.3736791,-123.2740834
Whitby,43.8792337,-78.9460158
Willowdale,43.759992,-79.4167592
Windsor West,42.3024167,-83.0290052
Windsor—Tecumseh,42.3136753,-82.9193095
Winnipeg Centre,49.8967995,-97.1725755
Winnipeg North,49.94865,-97.1835179
Winnipeg South,49.7912188,-97.1568142
Winnipeg South Centre,49.8726342,-97.1482759
Yellowhead,53.5812819,-116.4301094
York South—Weston,43.7018332,-79.5148921
Yorkton—Melville,51.2118005,-102.4639296
York—Simcoe,44.098149,-79.473157
Yukon,60.7243941,-135.0564258
