Honorific,First name,Last name,Gender,Office type,Address - incomeplete,City,Province,Address -postcode,Office email,Email,Telephone,Fax,Toll-free,TTY,Riding name,Party,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,,distane to ON parl.
,Jessica,Bell,Female ,Constituency office,"Unit 103
719 Bloor St. W
",Toronto,ON,M6G 1L5,jbell-CO@ndp.on.ca,JBell-QP@ndp.on.ca,416-535-7206,,,,University—Rosedale,New Democratic Party of Ontario,10,"Toronto, ON M6G 1L5, Canada",,43.6635475,-79.417903,"43.6635475,-79.417903",ChIJuYKRTfM0K4gRkwXd3YbDoOM,postal_code,M6G 1L5,M6G 1L5,1,OK,,2.97
,Rima,Berns-McGown,Female ,Constituency office,"1821 Danforth Ave.
",Toronto,ON,M4C 1J2,RBerns-McGown-CO@ndp.on.ca,RBerns-McGown-QP@ndp.on.ca,416-690-1032,416-690-8420,,,Beaches—East York,New Democratic Party of Ontario,11,"Toronto, ON M4C 1J2, Canada",,43.6841828,-79.3186529,"43.68418279999999,-79.31865289999999",ChIJjzPqnG7M1IkRw0zVz-WA3kA,postal_code,M4C 1J2,M4C 1J2,1,OK,,6.883
Hon.,Peter,Bethlenfalvy,Male ,Constituency office,"Suite 213
1550 Kingston Rd.
",Pickering,ON,L1V 1C3,,peter.bethlenfalvy@pc.ola.org,905-509-0336  ,905-509-0334,1-888-444-1730,,Pickering—Uxbridge,Progressive Conservative Party of Ontario,12,"Pickering, ON L1V 1C3, Canada",,43.8455448,-79.0789811,"43.8455448,-79.0789811",ChIJISnNrRvf1IkRjEhXaerw8b8,postal_code,L1V 1C3,L1V 1C3,1,OK,,41.518
,Gilles,Bisson,Male ,Constituency office,"Suite 202
60 Wilson Ave.
",Timmins,ON,P4N 2S7,gbisson@ndp.on.ca,,705-268-6400,705-266-9125,1-800-461-9878,,Timmins,New Democratic Party of Ontario,13,"Timmins, ON P4N 2S7, Canada",,48.4755455,-81.3369307,"48.4755455,-81.3369307",ChIJF9iwT-KlPE0RJzwQZwmH5BY,postal_code,P4N 2S7,P4N 2S7,1,OK,,689.082
,Stephen,Blais,Male ,Constituency office,"Unit 204
4473 Innes Rd.
",Orleans,ON,K4A 1A7,sblais.mpp.co@liberal.ola.org,,613-834-8679,613-834-7647,,,Orléans,Ontario Liberal Party,14,"401-4473 Innes Rd, Orléans, ON K4A 1A7, Canada",,45.4613563,-75.4863806,"45.46135630000001,-75.48638059999999",ChIJ47AxokUSzkwRr8P3s4HLp4E,"establishment,point_of_interest",K4A 1A7,K4A 1A7,1,OK,,466.185
,Will,Bouma,Male ,Constituency office,"Suite 101
96 Nelson St.
",Brantford,ON,N3T 2X1,,will.bouma@pc.ola.org,519-759-0361,519-759-6439,,,Brantford—Brant,Progressive Conservative Party of Ontario,15,"Brantford, ON N3T 2X1, Canada",,43.1426098,-80.2611423,"43.1426098,-80.2611423",ChIJ0QSeeQlmLIgRuCL88DxxWlY,postal_code,N3T 2X1,N3T 2X1,1,OK,,103.71
,Guy,Bourgouin,Male ,Constituency office,"28 Circle St.
",Kapuskasing,ON,P5N 1T7,,GBourgouin-QP@ndp.on.ca,705-335-6400  ,,,,Mushkegowuk—James Bay,New Democratic Party of Ontario,16,"Kapuskasing, ON P5N 1T7, Canada",,49.417591,-82.4257349,"49.41759099999999,-82.4257349",ChIJ59OP0rDfPU0Rr8fjbQ0LBBM,postal_code,P5N 1T7,P5N 1T7,1,OK,,832.544
,Guy,Bourgouin,Male ,Constituency office,"Unit 6
631 Front St.
",Hearst,ON,P0L 1N0,,GBourgouin-QP@ndp.on.ca,705-372-6400,705-372-6440,,,Mushkegowuk—James Bay,New Democratic Party of Ontario,17,"Hearst, ON P0L 1N0, Canada",,49.7922368,-83.8124483,"49.7922368,-83.81244830000001",ChIJiSaw-VLjP00RUQTGOXcg8BY,postal_code,P0L 1N0,P0L 1N0,1,OK,,945.384
,Jeff,Burch,Male ,Constituency office,"Unit 102
60 King St.
",Welland,ON,L3B 6A4,JBurch-CO@ndp.on.ca,JBurch-QP@ndp.on.ca,905-732-6884,905-732-9782,,,Niagara Centre,New Democratic Party of Ontario,18,"Welland, ON L3B 6A4, Canada",,42.9908438,-79.2508195,"42.9908438,-79.25081949999999",ChIJAbj3n85J04kR5jdYTy9S56M,postal_code,L3B 6A4,L3B 6A4,1,OK,,135.682
Hon.,Paul,Calandra,Male ,Constituency office,"Suite 400
37 Sandiford Dr.
",Stouffville,ON,L4A 3Z2,,paul.calandra@pc.ola.org,905-642-2588,905-642-1618,1-866-531-9551,,Markham—Stouffville,Progressive Conservative Party of Ontario,19,"37 Sandiford Dr, Whitchurch-Stouffville, ON L4A 3Z2, Canada",,43.9654244,-79.2695166,"43.9654244,-79.2695166",ChIJUZmGNEop1YkRpTBBdzyj8eg,"establishment,point_of_interest",L4A 3Z2,L4A 3Z2,1,OK,,46.29
Hon.,Raymond Sung Joon,Cho,Male ,Constituency office,"Unit B
4559 Sheppard Ave. E
",Toronto,ON,M1S 1V3,,raymond.cho@pc.ola.org,416-297-5040,416-297-6767,,,Scarborough North,Progressive Conservative Party of Ontario,20,"Scarborough, ON M1S 1V3, Canada",,43.7881581,-79.2637911,"43.7881581,-79.26379109999999",ChIJIXC-pA3R1IkRDmwRZ8TMZWc,postal_code,M1S 1V3,M1S 1V3,1,OK,,24.67
,Stan,Cho,Male ,Constituency office,"111 Sheppard Ave. W
",North York,ON,M2N 1M7,,stan.cho@pc.ola.org,416-733-7878,416-733-7709,,,Willowdale,Progressive Conservative Party of Ontario,21,"North York, ON M2N 1M7, Canada",,43.7597946,-79.4175512,"43.7597946,-79.41755119999999",ChIJ5_k2SHwtK4gROI9hYmzoaEA,postal_code,M2N 1M7,M2N 1M7,1,OK,,12.991
Hon.,Steve,Clark,Male ,Constituency office,"Suite 101
100 Strowger Blvd.
",Brockville,ON,K6V 5J9,,steve.clark@pc.ola.org,613-342-9522,613-342-2501,1-800-267-4408,,Leeds—Grenville—Thousand Islands and Rideau Lakes,Progressive Conservative Party of Ontario,22,"Brockville, ON K6V 5J9, Canada",,44.5904012,-75.7033644,"44.5904012,-75.7033644",ChIJA7QUfgYPzUwRqNl-V_Nc6kU,postal_code,K6V 5J9,K6V 5J9,1,OK,,337.99
,Lorne,Coe,Male ,Constituency office,"Suite 101
114 Dundas St. E
",Whitby,ON,L1N 2H7,,lorne.coe@pc.ola.org,905-430-1141 ,905-430-1840,,,Whitby,Progressive Conservative Party of Ontario,23,"Whitby, ON L1N 2H7, Canada",,43.8807002,-78.9410221,"43.8807002,-78.9410221",ChIJyQRbvhIe1YkRZWYn1baiWXw,postal_code,L1N 2H7,L1N 2H7,1,OK,,53.82
,Lucille,Collard,Female ,Constituency office,"237 Montreal Rd.
",Vanier,ON,K1L 6C7,,LCollard.mpp.co@liberal.ola.org,613-744-4484,613-744-0889,,,Ottawa—Vanier,Ontario Liberal Party,24,"Vanier, ON K1L 6C7, Canada",,45.4360227,-75.6625501,"45.4360227,-75.66255009999999",ChIJhfh3uWoFzkwRqj_EDDQJDVg,postal_code,K1L 6C7,K1L 6C7,1,OK,,452.751
,Michael,Coteau,Male ,Constituency office,"Suite L02
1200 Lawrence Ave. E
",Toronto,ON,M3A 1C1,mcoteau.mpp.co@liberal.ola.org,,416-494-6856,416-494-9937,,,Don Valley East,Ontario Liberal Party,25,"North York, ON M3A 1C1, Canada",,43.7415106,-79.3196212,"43.7415106,-79.3196212",ChIJRzwcgoXN1IkRZeg8p5giaSM,postal_code,M3A 1C1,M3A 1C1,1,OK,,14.191
,Stephen,Crawford,Male ,Constituency office,"Unit 1
74 Rebecca St.
",Oakville,ON,L6K 1J2,,stephen.crawford@pc.ola.org,905-827-5141,905-827-3786,,,Oakville,Progressive Conservative Party of Ontario,26,"Oakville, ON L6K 1J2, Canada",,43.4411363,-79.6755571,"43.4411363,-79.67555709999999",ChIJOeJVVvRcK4gR3hyeI9JYaQ8,postal_code,L6K 1J2,L6K 1J2,1,OK,,42.621
,Rudy,Cuzzetto,Male ,Constituency office,"Unit 1 &amp; 2
120 Lakeshore Rd. W
",Mississauga,ON,L5H 1E8,rudy.cuzzettoco@pc.ola.org,rudy.cuzzetto@pc.ola.org,905-274-8228,905-274-8552,,,Mississauga—Lakeshore,Progressive Conservative Party of Ontario,27,"Mississauga, ON L5H 1E8, Canada",,43.5499744,-79.587998,"43.5499744,-79.587998",ChIJ2cUJ_HNGK4gRNt7YRmieyEw,postal_code,L5H 1E8,L5H 1E8,1,OK,,26.774
Hon.,Doug,Downey,Male ,Constituency office,"Unit 14
20 Bell Farm Rd.
",Barrie,ON,L4M 6E4,doug.downeyco@pc.ola.org,doug.downey@pc.ola.org,705-726-5538,705-726-2880,,,Barrie—Springwater—Oro-Medonte,Progressive Conservative Party of Ontario,28,"Barrie, ON L4M 6E4, Canada",,44.4085187,-79.6835367,"44.40851869999999,-79.68353669999999",ChIJiwGrmBCjKogRtDn24d0MvkA,postal_code,L4M 6E4,L4M 6E4,1,OK,,97.243
Hon.,Jill,Dunlop,Female ,Constituency office,"14 Coldwater Rd. W
",Orillia,ON,L3V 3L1,,jill.dunlop@pc.ola.org,705-326-3246,705-326-9579,1-800-304-7341,,Simcoe North,Progressive Conservative Party of Ontario,29,"Orillia, ON L3V 3L1, Canada",,44.6097742,-79.4219398,"44.6097742,-79.42193979999999",ChIJIdKUjjqpKk0R3Tamx8h4wD0,postal_code,L3V 3L1,L3V 3L1,1,OK,,131.031
Hon.,Jill,Dunlop,Female ,Constituency office,"TD Canada Trust Bank Plaza
Unit 6
295 King St.
",Midland,ON,L4R 3M5,,jill.dunlop@pc.ola.org,705-526-8671,705-526-8600,,,Simcoe North,Progressive Conservative Party of Ontario,30,"Midland, ON L4R 3M5, Canada",,44.74934,-79.8843674,"44.74934,-79.8843674",ChIJH0cCKBDbKk0RLEngZLTpJL4,postal_code,L4R 3M5,L4R 3M5,1,OK,,146.323
Hon.,Christine,Elliott,Female ,Constituency office,"Unit 22
16635 Yonge St.
",Newmarket,ON,L3X 1V6,,christine.elliott@pc.ola.org,905-853-9889,905-853-6115,1-800-211-1881,,Newmarket—Aurora,Progressive Conservative Party of Ontario,31,"Newmarket, ON L3X 1V6, Canada",,44.0343966,-79.4735525,"44.0343966,-79.4735525",ChIJB6XhrYfRKogR-OdTR2GfuC0,postal_code,L3X 1V6,L3X 1V6,1,OK,,54.541
Hon.,Victor,Fedeli,Male ,Constituency office,"219 Main St. E
",North Bay,ON,P1B 1B2,vic.fedelico@pc.ola.org,vic.fedeli@pc.ola.org,705-474-8340,705-474-9747,,,Nipissing,Progressive Conservative Party of Ontario,32,"North Bay, ON P1B 1B2, Canada",,46.3080308,-79.4624743,"46.3080308,-79.4624743",ChIJv_7PHYWqKU0RIJ_teV2ovdg,postal_code,P1B 1B2,P1B 1B2,1,OK,,343.3
,Amy,Fee,Female ,Constituency office,"Unit 4
4281 King St. E
",Kitchener,ON,N2P 2E9,amy.feeco@pc.ola.org,amy.fee@pc.ola.org,519-650-9413,519-650-7006,,,Kitchener South—Hespeler,Progressive Conservative Party of Ontario,33,"Kitchener, ON N2P 2E9, Canada",,43.4077793,-80.3982216,"43.4077793,-80.3982216",ChIJi5D4L0OKK4gRJy-C0uj_V8A,postal_code,N2P 2E9,N2P 2E9,1,OK,,99.661
,Catherine,Fife,Female ,Constituency office,"Suite 220
100 Regina St. S
",Waterloo,ON,N2J 4P9,,cfife-qp@ndp.on.ca,519-725-3477,519-725-3667,,,Waterloo,New Democratic Party of Ontario,34,"Waterloo, ON N2J 4P9, Canada",,43.4632558,-80.5204027,"43.4632558,-80.52040269999999",ChIJpeTxam30K4gRJtKX2-nLk3c,postal_code,N2J 4P9,N2J 4P9,1,OK,,114.637
Hon.,Doug,Ford,Male ,Constituency office,"823 Albion Rd.
",Etobicoke,ON,M9V 1A3,doug.fordco@pc.ola.org,,416-745-2859,416-745-4601  ,,,Etobicoke North,Progressive Conservative Party of Ontario,35,"Etobicoke, ON M9V 1A3, Canada",,43.7345969,-79.5601684,"43.7345969,-79.5601684",ChIJa5CMgn8wK4gRleA6tsxWdZk,postal_code,M9V 1A3,M9V 1A3,1,OK,,21.565
,John,Fraser,Male ,Constituency office,"1828 Bank St.
",Ottawa,ON,K1V 7Y6,Jfraser.mpp.co@liberal.ola.org,,613-736-9573  ,613-736-7374  ,,,Ottawa South,Ontario Liberal Party,36,"Ottawa, ON K1V 7Y6, Canada",,45.3744887,-75.6661981,"45.37448870000001,-75.6661981",ChIJ_RJTmakIzkwRnF789q9Am2M,postal_code,K1V 7Y6,K1V 7Y6,1,OK,,451.417
,Jennifer,French,Female ,Constituency office,"Unit 2
78 Centre St. N
",Oshawa,ON,L1G 4B6,​​​​​​​JFrench-CO@ndp.on.ca,JFrench-QP@ndp.on.ca,905-723-2411  ,905-723-1054  ,,,Oshawa,New Democratic Party of Ontario,37,"Oshawa, ON L1G 4B6, Canada",,43.8991742,-78.8670156,"43.8991742,-78.8670156",ChIJr4bZI-Qc1YkRH6vUzQbBfVM,postal_code,L1G 4B6,L1G 4B6,1,OK,,60.974
Hon.,Merrilee,Fullerton,Female ,Constituency office,"Suite 100
240 Michael Cowpland Dr.
",Kanata,ON,K2M 1P6,merrilee.fullerton@pc.ola.org,,613-599-3000  ,613-599-8183  ,1-800-267-1020,,Kanata—Carleton,Progressive Conservative Party of Ontario,38,"Kanata, ON K2M 1P6, Canada",,45.2848076,-75.8700583,"45.2848076,-75.8700583",ChIJC_DTTwL_zUwR1pMiyZRvEWk,postal_code,K2M 1P6,K2M 1P6,1,OK,,435.423
,Wayne,Gates,Male ,Constituency office,"Douglas Heights Seniors Centre
265 High St.

&nbsp;

&nbsp;
",Fort Erie,ON,L2A 3R4,wgates-co@ndp.on.ca,wgates-qp@ndp.on.ca,905-871-8868  ,905-871-4717 ,,,Niagara Falls,New Democratic Party of Ontario,39,"Fort Erie, ON L2A 3R4, Canada",,42.9118012,-78.9155639,"42.9118012,-78.9155639",ChIJyShKwnAT04kRzwj2YoFSuWY,postal_code,L2A 3R4,L2A 3R4,1,OK,,155.89
,Wayne,Gates,Male ,Constituency office,"Unit 1
6746 Morrison St.
",Niagara Falls,ON,L2E 6Z8,wgates-co@ndp.on.ca,wgates-qp@ndp.on.ca,905-357-0681  ,905-357-9456  ,,,Niagara Falls,New Democratic Party of Ontario,40,"Niagara Falls, ON L2E 6Z8, Canada",,43.1035381,-79.0975136,"43.1035381,-79.0975136",ChIJxRbzkkRD04kRdvjHWi4PZ1A,postal_code,L2E 6Z8,L2E 6Z8,1,OK,,128.924
,Goldie,Ghamari,Female ,Constituency office,"Unit 30
6179 Perth St.
",Richmond,ON,K0A 2Z0,,goldie.ghamari@pc.ola.org,613-838-4425,613-838-6045 ,,,Carleton,Progressive Conservative Party of Ontario,41,"Richmond, ON K0A 2Z0, Canada",,45.1496224,-75.8088814,"45.1496224,-75.80888139999999",ChIJWSmp-5DwzUwRF3fzSGCPZGY,postal_code,K0A 2Z0,K0A 2Z0,1,OK,,420.153
,Parm,Gill,Male ,Constituency office,"Unit 206
400 Main St. E
",Milton,ON,L9T 4X5,,parm.gill@pc.ola.org,905-878-1729  ,905-878-5144  ,,,Milton,Progressive Conservative Party of Ontario,42,"Milton, ON L9T 4X5, Canada",,43.5172896,-79.8778959,"43.51728960000001,-79.8778959",ChIJf4s-GKFvK4gRmS9qhCJGXf0,postal_code,L9T 4X5,L9T 4X5,1,OK,,56.093
,Chris,Glover,Male ,Constituency office,"Unit A
226 Bathurst St.
",Toronto,ON,M5T 2R9,CGlover-CO@ndp.on.ca,,416-603-9664  ,416-603-1214  ,,,Spadina—Fort York,New Democratic Party of Ontario,43,"Toronto, ON M5T 2R9, Canada",,43.6483766,-79.4047109,"43.6483766,-79.4047109",ChIJ37luDuc0K4gR7D_8PFiA6h4,postal_code,M5T 2R9,M5T 2R9,1,OK,,2.975
,Michael,Gravelle,Male ,Constituency office,"179 Algoma St. S
",Thunder Bay,ON,P7B 3C1,mgravelle.mpp.co@liberal.ola.org,,807-345-3647  ,807-345-2922  ,,,Thunder Bay—Superior North,Ontario Liberal Party,44,"Thunder Bay, ON P7B 3C1, Canada",,48.4307275,-89.2300639,"48.4307275,-89.23006389999999",ChIJkX50qS4iWU0R3xRsDN-e0gk,postal_code,P7B 3C1,P7B 3C1,1,OK,,1374.269
,Lisa,Gretzky,Female ,Constituency office,"2443 Dougall Ave.
",Windsor ,ON,N8X 1T3,LGretzky-CO@ndp.on.ca,LGretzky-QP@ndp.on.ca,519-977-7191 ,519-977-7029,,,Windsor West,New Democratic Party of Ontario,45,"Windsor, ON N8X 1T3, Canada",,42.288292,-83.0274102,"42.288292,-83.02741019999999",ChIJQ69OT08sO4gRLG0gX7u-dpM,postal_code,N8X 1T3,N8X 1T3,1,OK,,367.021
,France,Gélinas,Female ,Constituency office,"Hanmer Valley Shopping Plaza
Suite 15
5085 Hwy. 69 N
",Hanmer,ON,P3P 1P7,fgelinas-co@ndp.on.ca,fgelinas-qp@ndp.on.ca,705-969-3621 ,705-969-3538  ,,,Nickel Belt,New Democratic Party of Ontario,46,"Hanmer, ON P3P 1P7, Canada",,46.645687,-80.9722009,"46.645687,-80.97220089999999",ChIJ9zyprkemL00RnFrEysLqqg4,postal_code,P3P 1P7,P3P 1P7,1,OK,,406.509
Hon.,Ernie,Hardeman,Male ,Constituency office,"2nd Floor
12 Perry St.
",Woodstock,ON,N4S 3C2,ernie.hardemanco@pc.ola.org,ernie.hardeman@pc.ola.org,519-537-5222,519-537-3577 ,1-800-265-4046,,Oxford,Progressive Conservative Party of Ontario,47,"12 Perry St, Woodstock, ON N4S 3C2, Canada",,43.129177,-80.7593841,"43.129177,-80.75938409999999",ChIJ0WPEek8yWkARtzeUnnRu3no,"establishment,health,hospital,point_of_interest",N4S 3C2,N4S 3C2,1,OK,,146.593
,Joel,Harden,Male ,Constituency office,"109 Catherine St.
",Ottawa,ON,K2P 0P4,JHarden-CO@ndp.on.ca,JHarden-QP@ndp.on.ca,613-722-6414 ,613-722-6703,,,Ottawa Centre,New Democratic Party of Ontario,48,"Ottawa, ON K2P 0P4, Canada",,45.4112418,-75.6883687,"45.4112418,-75.6883687",ChIJJR6zqLoFzkwRDzVCvNxjfOs,postal_code,K2P 0P4,K2P 0P4,1,OK,,447.733
,Mike,Harris,Male ,Constituency office,"Unit 3 &amp; 4
63 Arthur St. S
",Elmira,ON,N3B 2M6,mike.harrisco@pc.ola.org,mike.harris@pc.ola.org,519-669-2090  ,519-669-0476  ,,,Kitchener—Conestoga,Progressive Conservative Party of Ontario,49,"Elmira, ON N3B 2M6, Canada",,43.5985067,-80.5585148,"43.5985067,-80.5585148",ChIJzeY-UY7uK4gRkg9U_lsVEUM,postal_code,N3B 2M6,N3B 2M6,1,OK,,127.883
,Faisal,Hassan,Male ,Constituency office,"1965 Weston Rd.
",Toronto,ON,M9N 1W8,FHassan-CO@ndp.on.ca,FHassan-QP@ndp.on.ca,416-243-7984 ,416-243-0327,,,York South—Weston,New Democratic Party of Ontario,50,"York, ON M9N 1W8, Canada",,43.7011134,-79.5183641,"43.7011134,-79.5183641",ChIJnabPs9kwK4gRtwkX7JdVw4A,postal_code,M9N 1W8,M9N 1W8,1,OK,,20.839
,Percy,Hatfield,Male ,Constituency office,"Unit 1
5452 Tecumseh Rd. E
",Windsor,ON,N8T 1C7,PHatfield-co@ndp.on.ca,PHatfield-QP@ndp.on.ca,519-251-5199 ,519-251-5299 ,,,Windsor—Tecumseh,New Democratic Party of Ontario,51,"Windsor, ON N8T 1C7, Canada",,42.3093915,-82.9590614,"42.3093915,-82.9590614",ChIJhVTGLxorO4gR2LEjg7E-nVk,postal_code,N8T 1C7,N8T 1C7,1,OK,,364.69
,Randy,Hillier,Male ,Constituency office,"Unit 1
105 Dufferin St.
",Perth,ON,K7H 3A5,RHillier-CO@ola.org,,613-267-8239 ,613-267-7398  ,,,Lanark—Frontenac—Kingston,Independent,52,"Perth, ON K7H 3A5, Canada",,44.9099759,-76.2666017,"44.9099759,-76.2666017",ChIJ65VHAI960kwRB9RNFs-oS4Y,postal_code,K7H 3A5,K7H 3A5,1,OK,,317.666
,Christine,Hogarth,Female ,Constituency office,"Unit 21
195 Norseman St.
",Etobicoke,ON,M8Z 0E9,,christine.hogarth@pc.ola.org,416-259-2249  ,,,,Etobicoke—Lakeshore,Progressive Conservative Party of Ontario,53,"195 Norseman St, Etobicoke, ON M8Z 0E9, Canada",,43.633196,-79.5221963,"43.633196,-79.52219629999999",ChIJ5yhTY7Q3K4gRi4GxVZhzOG0,"establishment,point_of_interest",M8Z 0E9,M8Z 0E9,1,OK,,16.161
,Andrea,Horwath,Female ,Constituency office,"Suite 200
20 Hughson St. S
",Hamilton,ON,L8N 2A1,ahorwath-co@ndp.on.ca,horwatha-qp@ndp.on.ca,905-544-9644  ,905-544-5152  ,,,Hamilton Centre,New Democratic Party of Ontario,54,"Hamilton, ON L8N 2A1, Canada",,43.2552863,-79.8684462,"43.25528629999999,-79.8684462",ChIJEwZPrISbLIgRr0apJnRnX5o,postal_code,L8N 2A1,L8N 2A1,1,OK,,69.442
,Mitzie,Hunter,Female ,Constituency office,"Unit B1
3785 Kingston Rd.
",Scarborough,ON,M1J 3M4,mhunter.mpp.co@liberal.ola.org,,416-281-2787  ,416-281-2360 ,,,Scarborough—Guildwood,Ontario Liberal Party,55,"Scarborough, ON M1J 3M4, Canada",,43.7475204,-79.2073107,"43.7475204,-79.2073107",ChIJb-ng9QXQ1IkR9ReaBxPtetI,postal_code,M1J 3M4,M1J 3M4,1,OK,,30.38
Hon.,Sylvia,Jones,Female ,Constituency office,"Suite A
3rd Floor
180 Broadway Ave.
",Orangeville,ON,L9W 1K3,,sylvia.jones@pc.ola.org,519-941-7751  ,519-941-3246  ,,,Dufferin—Caledon,Progressive Conservative Party of Ontario,56,"Orangeville, ON L9W 1K3, Canada",,43.9190708,-80.0969651,"43.9190708,-80.09696509999999",ChIJ90g8kp0AK4gRkfmn7oN-PG4,postal_code,L9W 1K3,L9W 1K3,1,OK,,83.007
,Logan,Kanapathi,Male ,Constituency office,"Unit 5
450 Alden Rd.
",Markham,ON,L3R 5H4,logan.kanapathico@pc.ola.org,logan.kanapathi@pc.ola.org,905-305-1935  ,905-305-1938  ,,,Markham—Thornhill,Progressive Conservative Party of Ontario,57,"Markham, ON L3R 5H4, Canada",,43.8351368,-79.3340577,"43.8351368,-79.3340577",ChIJKcRoAGPU1IkRpTU6MuXsA40,postal_code,L3R 5H4,L3R 5H4,1,OK,,24.758
