District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Office type,Phone,Fax,Office type,Address,Phone,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,distance from Quebec Prov Parli.
Bonaventure,MNA,Sylvain Roy,Sylvain,Roy,,Parti québécois,Sylvain.Roy.BONA@assnat.qc.ca,legislature,1 418 263-0359,,constituency,"314E, boulevard Perron Carleton (Quebec) G0C 1J0",1 418 364-6153,13,"314 Boulevard Perron, Maria, QC G0C 1Y0, Canada",,48.1131725,-66.150272,"48.1131725,-66.150272",ChIJh-1XdnY1mEwRM-_v4nPQcwY,street_address,G0C 1Y0,"314E, boulevard Perron Carleton (Quebec) G0C 1J0",1,OK,1025.666
Borduas,MNA,Simon Jolin-Barrette,Simon,Jolin-Barrette,,Coalition avenir Québec,sjb.BORD@assnat.qc.ca,legislature,1 418 643-3804,,constituency,"888, rue Laurier Beloeil (Quebec) J3G 4K7",1 450 464-5505,14,"888 Rue Laurier, Beloeil, QC J3G 4K7, Canada",,45.5691811,-73.2013329,"45.56918109999999,-73.2013329",ChIJAVZ8ONCqyUwRDM2LtV0C2zw,street_address,J3G 4K7,"888, rue Laurier Beloeil (Quebec) J3G 4K7",1,OK,590.542
Bourassa-Sauvé,MNA,Paule Robitaille,Paule,Robitaille,,Parti libéral du Québec,Paule.Robitaille.BOSA@assnat.qc.ca,legislature,1 581 628-1182,,constituency,"5879, boulevard Henri-Bourassa Est Bureau 305 Montréal-Nord (Quebec) H1G 2V1",1 514 328-6006,15,"5879 Boul Henri-Bourassa E Suite 305, Montréal-Nord, QC H1G 2V1, Canada",,45.6074096,-73.6193096,"45.6074096,-73.6193096",ChIJSzUMmaMfyUwR-JKMYsFDUG4,subpremise,H1G 2V1,"5879, boulevard Henri-Bourassa Est Bureau 305 Montréal-Nord (Quebec) H1G 2V1",1,OK,605.769
Bourget,MNA,Richard Campeau,Richard,Campeau,,Coalition avenir Québec,Richard.Campeau.BOUR@assnat.qc.ca,legislature,1 418 263-0691,,constituency,"6070, rue Sherbrooke Est 1er étage, Bureau 105 Montréal (Quebec) H1N 1C1",1 514 251-8126,16,"6070 Rue Sherbrooke E 1er étage, Bureau 105, Montréal, QC H1N 1C1, Canada",,45.5778294,-73.5454353,"45.5778294,-73.54543530000001",Eks2MDcwIFJ1ZSBTaGVyYnJvb2tlIEUgMWVyIMOpdGFnZSwgQnVyZWF1IDEwNSwgTW9udHLDqWFsLCBRQyBIMU4gMUMxLCBDYW5hZGEiMhowChYKFAoSCbMDVuM6HMlMEX5pOy1b1Z-DEhYxZXIgw6l0YWdlLCBCdXJlYXUgMTA1,subpremise,H1N 1C1,"6070, rue Sherbrooke Est 1er étage, Bureau 105 Montréal (Quebec) H1N 1C1",1,OK,601.253
Brome-Missisquoi,MNA,Isabelle Charest,Isabelle,Charest,,Coalition avenir Québec,Isabelle.Charest.BRMI@assnat.qc.ca,legislature,1 418 266-3255,,constituency,170 rue de Sherbrooke Bureau 205 Cowansville (Quebec) J2K 3Y9,1 450 266-7410,17,"170 Rue de Sherbrooke Bureau 205, Cowansville, QC J2K 3J1, Canada",,45.1938281,-72.7598954,"45.1938281,-72.75989539999999",EkExNzAgUnVlIGRlIFNoZXJicm9va2UgQnVyZWF1IDIwNSwgQ293YW5zdmlsbGUsIFFDIEoySyAzSjEsIENhbmFkYSImGiQKFgoUChIJxS4IE3vnyUwRU3uBDk3DRsYSCkJ1cmVhdSAyMDU,subpremise,J2K 3J1,170 rue de Sherbrooke Bureau 205 Cowansville (Quebec) J2K 3Y9,1,OK,505.595
Chambly,MNA,Jean-François Roberge,Jean-François,Roberge,,Coalition avenir Québec,Jean-Francois.Roberge.CHMB@assnat.qc.ca,legislature,1 418 644-0664,,constituency,"2028, avenue Bourgogne Chambly (Quebec) J3L 1Z6",1 450 658-5452,18,"2028 Avenue Bourgogne, Chambly, QC J3L 1Z6, Canada",,45.4477133,-73.2727499,"45.4477133,-73.2727499",ChIJkUFfh2aoyUwRgwft2L-faOE,street_address,J3L 1Z6,"2028, avenue Bourgogne Chambly (Quebec) J3L 1Z6",1,OK,567.385
Champlain,MNA,Sonia LeBel,Sonia,LeBel,,Coalition avenir Québec,Sonia.LeBel.CHMP@assnat.qc.ca,legislature,1 418 643-5926,,constituency,580 rue Barkoff Bureau 210 Trois-Rivières (Quebec) G8T 9T7,1 819 694-4600,19,"580 Rue Barkoff Bureau 210, Trois-Rivières, QC G8W 2P6, Canada",,46.3775928,-72.5518451,"46.3775928,-72.5518451",Ejc1ODAgUnVlIEJhcmtvZmYgQnVyZWF1IDIxMCwgVHJvaXMtUml2acOocmVzLCBRQywgQ2FuYWRhIiYaJAoWChQKEgklzHW-isjHTBGJMfuYb90SjxIKQnVyZWF1IDIxMA,subpremise,G8W 2P6,580 rue Barkoff Bureau 210 Trois-Rivières (Quebec) G8T 9T7,1,OK,648.003
Chapleau,MNA,Mathieu Lévesque,Mathieu,Lévesque,,Coalition avenir Québec,Mathieu.Levesque.CHAP@assnat.qc.ca,legislature,1 418 528-0390,,constituency,"195, boulevard Gréber Bureau 206 Gatineau (Quebec) J8T 3R1",1 819 246-4558,20,"195 Boulevard Gréber Bureau 206, Gatineau, QC J8T 3R1, Canada",,45.4727711,-75.7007746,"45.4727711,-75.7007746",Ej4xOTUgQm91bGV2YXJkIEdyw6liZXIgQnVyZWF1IDIwNiwgR2F0aW5lYXUsIFFDIEo4VCAzUjEsIENhbmFkYSImGiQKFgoUChIJMRCjQkYbzkwRx0H9x3onDOYSCkJ1cmVhdSAyMDY,subpremise,J8T 3R1,"195, boulevard Gréber Bureau 206 Gatineau (Quebec) J8T 3R1",1,OK,707.695
Charlesbourg,MNA,Jonatan Julien,Jonatan,Julien,,Coalition avenir Québec,Jonatan.Julien.CHLB@assnat.qc.ca,legislature,1 418 643-7295,,constituency,"Carrefour Charlesbourg 8500, boulevard Henri-Bourassa Bureau 213 Québec (Quebec) G1G 5X1",1 418 644-9240,21,"8500 Boulevard Henri-Bourassa, Québec, QC G1G 5X1, Canada",,46.8651096,-71.2703579,"46.8651096,-71.2703579",ChIJC-GjGGKWuEwRDSnu0_KZOv0,"establishment,point_of_interest,shopping_mall",G1G 5X1,"Carrefour Charlesbourg 8500, boulevard Henri-Bourassa Bureau 213 Québec (Quebec) G1G 5X1",1,OK,734.882
Charlevoix-Côte-de-Beaupré,MNA,Émilie Foster,Émilie,Foster,,Coalition avenir Québec,Emilie.Foster.CHCB@assnat.qc.ca,legislature,1 418 263-0701,,constituency,"10989, boulevard Sainte-Anne Suite 101 Beaupré (Quebec) G0A 1E0",1 418 827-5115,22,"101-10989 Boulevard Sainte-Anne, Beaupré, QC G0A 1E0, Canada",,47.0417598,-70.8977719,"47.0417598,-70.8977719",Ej0xMDEtMTA5ODkgQm91bGV2YXJkIFNhaW50ZS1Bbm5lLCBCZWF1cHLDqSwgUUMgRzBBIDFFMCwgQ2FuYWRhIh8aHQoWChQKEgmxXFLROcq4TBEbjH1IQ7so2hIDMTAx,subpremise,G0A 1E0,"10989, boulevard Sainte-Anne Suite 101 Beaupré (Quebec) G0A 1E0",1,OK,768.902
Chauveau,MNA,Sylvain Lévesque,Sylvain,Lévesque,,Coalition avenir Québec,Sylvain.Levesque.CHAU@assnat.qc.ca,legislature,1 581 628-1796,,constituency,"2e étage 1680, avenue Lapierre Bureau 201 Québec (Quebec) G3E 0G1",1 418 842-3330,23,"1680 Avenue Lapierre 2e étage, Québec, QC G3E 1K9, Canada",,46.8704665,-71.3377348,"46.8704665,-71.33773479999999",EjsxNjgwIEF2ZW51ZSBMYXBpZXJyZSAyZSDDqXRhZ2UsIFF1w6liZWMsIFFDIEczRSAxSzksIENhbmFkYSIlGiMKFgoUChIJqbrFs4-iuEwRbvUrJjlOpbcSCTJlIMOpdGFnZQ,subpremise,G3E 1K9,"2e étage 1680, avenue Lapierre Bureau 201 Québec (Quebec) G3E 0G1",2,OK,733.948
Chicoutimi,MNA,Andrée Laforest,Andrée,Laforest,,Coalition avenir Québec,Andree.Laforest.CHIC@assnat.qc.ca,legislature,1 418 691-2050,,constituency,"110, boulevard Barrette Chicoutimi (Quebec) G7H 7W8",1 418 543-7797,24,"110 Boulevard Barrette, Chicoutimi, QC G7H 7W8, Canada",,48.3938375,-71.0730197,"48.3938375,-71.0730197",ChIJ1RIpxi0hwEwRI5LETtwWYFs,premise,G7H 7W8,"110, boulevard Barrette Chicoutimi (Quebec) G7H 7W8",1,OK,929.855
Chomedey,MNA,Guy Ouellette,Guy,Ouellette,,Indépendant,Guy.Ouellette.CHOM@assnat.qc.ca,legislature,1 418 644-4050,,constituency,"4599, boulevard Samson Bureau 201 Laval (Quebec) H7W 2H2",1 450 686-0166,25,"4599 Boulevard Samson Bureau 201, Laval, QC H7W 2H2, Canada",,45.5293024,-73.7575409,"45.5293024,-73.7575409",Ejs0NTk5IEJvdWxldmFyZCBTYW1zb24gQnVyZWF1IDIwMSwgTGF2YWwsIFFDIEg3VyAySDIsIENhbmFkYSImGiQKFgoUChIJ-TksBxwjyUwR9ja7x4FSrIUSCkJ1cmVhdSAyMDE,subpremise,H7W 2H2,"4599, boulevard Samson Bureau 201 Laval (Quebec) H7W 2H2",1,OK,606.243
Chutes-de-la-Chaudière,MNA,Marc Picard,Marc,Picard,,Coalition avenir Québec,Marc.Picard.CDLC@assnat.qc.ca,legislature,1 418 643-2750,,constituency,"730, avenue Taniata Bureau 230 Lévis (Quebec) G6Z 2C5",1 418 834-0015,26,"730 Avenue Taniata Bureau 230, Saint-Jean-Chrysostome, QC G6Z 2C5, Canada",,46.7344657,-71.2109039,"46.7344657,-71.21090389999999",Ekk3MzAgQXZlbnVlIFRhbmlhdGEgQnVyZWF1IDIzMCwgU2FpbnQtSmVhbi1DaHJ5c29zdG9tZSwgUUMgRzZaIDJDNSwgQ2FuYWRhIiYaJAoWChQKEgn36eR4oJO4TBGLJUg8NEbGLhIKQnVyZWF1IDIzMA,subpremise,G6Z 2C5,"730, avenue Taniata Bureau 230 Lévis (Quebec) G6Z 2C5",1,OK,719.235
Châteauguay,MNA,MarieChantal Chassé,MarieChantal,Chassé,,Coalition avenir Québec,MarieChantal.Chasse.CHAT@assnat.qc.ca,legislature,1 418 266-1101 x72105,,constituency,"233, boulevard Saint-Jean-Baptiste Bureau 98 Châteauguay (Quebec) J6K 3C3",1 450 699-4136,27,"233 Boulevard Saint-Jean-Baptiste Bureau 98, Châteauguay, QC J6K 3C3, Canada",,45.3486317,-73.7224737,"45.3486317,-73.7224737",Ek0yMzMgQm91bGV2YXJkIFNhaW50LUplYW4tQmFwdGlzdGUgQnVyZWF1IDk4LCBDaMOidGVhdWd1YXksIFFDIEo2SyAzQzMsIENhbmFkYSIlGiMKFgoUChIJZaG59LUUyUwRRmOIFwrJqhYSCUJ1cmVhdSA5OA,subpremise,J6K 3C3,"233, boulevard Saint-Jean-Baptiste Bureau 98 Châteauguay (Quebec) J6K 3C3",1,OK,595.532
Côte-du-Sud,MNA,Marie-Eve Proulx,Marie-Eve,Proulx,,Coalition avenir Québec,Marie-Eve.Proulx.CDS@assnat.qc.ca,legislature,1 418 691-5650,,constituency,"Édifice Amable-Bélanger 6, rue Saint-Jean-Baptiste Est Bureau 206 Montmagny (Quebec) G5V 1J7",1 418 234-1893,28,"6 Rue Saint Jean Baptiste E bureau 206, Montmagny, QC G5V 1J7, Canada",,46.9790172,-70.5623222,"46.9790172,-70.56232220000001",ChIJb0B6BM_VuEwRUZqz4SwytKU,subpremise,G5V 1J7,"Édifice Amable-Bélanger 6, rue Saint-Jean-Baptiste Est Bureau 206 Montmagny (Quebec) G5V 1J7",1,OK,778.56
D'Arcy-McGee,MNA,David Birnbaum,David,Birnbaum,,Parti libéral du Québec,David.Birnbaum.DMG@assnat.qc.ca,legislature,1 418 528-1960,,constituency,"5800, boulevard Cavendish Bureau 403 Côte-Saint-Luc (Quebec) H4W 2T5",1 514 488-7028,29,"5800 Boul Cavendish Bureau 403, Côte Saint-Luc, QC H4W 2T5, Canada",,45.4758369,-73.6662946,"45.4758369,-73.6662946",EkM1ODAwIEJvdWwgQ2F2ZW5kaXNoIEJ1cmVhdSA0MDMsIEPDtHRlIFNhaW50LUx1YywgUUMgSDRXIDJUNSwgQ2FuYWRhIiYaJAoWChQKEgnfN0QzchfJTBFBiz--kqBcWxIKQnVyZWF1IDQwMw,subpremise,H4W 2T5,"5800, boulevard Cavendish Bureau 403 Côte-Saint-Luc (Quebec) H4W 2T5",1,OK,593.455
Deux-Montagnes,MNA,Benoit Charette,Benoit,Charette,,Coalition avenir Québec,Benoit.Charette.DEMO@assnat.qc.ca,legislature,1 418 521-3911,,constituency,"477, 25e Avenue Bureau 230 Saint-Eustache (Quebec) J7P 4Y1",1 450 623-4963,30,"477 25e Av Bureau 230, Saint-Eustache, QC J7P 5G1, Canada",,45.5789444,-73.8775787,"45.5789444,-73.8775787",Ejk0NzcgMjVlIEF2IEJ1cmVhdSAyMzAsIFNhaW50LUV1c3RhY2hlLCBRQyBKN1AgNUcxLCBDYW5hZGEiJhokChYKFAoSCfOjBZN9L8lMEZQk_aTj-W_vEgpCdXJlYXUgMjMw,subpremise,J7P 5G1,"477, 25e Avenue Bureau 230 Saint-Eustache (Quebec) J7P 4Y1",1,OK,618.814
Drummond-Bois-Francs,MNA,Sébastien Schneeberger,Sébastien,Schneeberger,,Coalition avenir Québec,Sebastien.Schneeberger.DRUM@assnat.qc.ca,legislature,1 418 644-1052,,constituency,"228, rue Heriot Bureau 203 Drummondville (Quebec) J2C 1K1",1 819 475-4343,31,"228 Rue Hériot Bureau 203, Drummondville, QC J2C 1K1, Canada",,45.8851967,-72.4881816,"45.88519669999999,-72.48818159999999",Ej0yMjggUnVlIEjDqXJpb3QgQnVyZWF1IDIwMywgRHJ1bW1vbmR2aWxsZSwgUUMgSjJDIDFLMSwgQ2FuYWRhIiYaJAoWChQKEgk54YHzbxHITBESB84ye3Q9mRIKQnVyZWF1IDIwMw,subpremise,J2C 1K1,"228, rue Heriot Bureau 203 Drummondville (Quebec) J2C 1K1",1,OK,573.132
Dubuc,MNA,François Tremblay,François,Tremblay,,Coalition avenir Québec,Francois.Tremblay.DUBU@assnat.qc.ca,legislature,1 418 263-0615,,constituency,"439, rue Albert Saguenay (Quebec) G7B 3L5",1 418 544-8106,32,"439 Rue Albert, La Baie, QC G7B 3L5, Canada",,48.3394957,-70.8812794,"48.3394957,-70.8812794",ChIJb5csD6YewEwR5v5dq6jBn14,street_address,G7B 3L5,"439, rue Albert Saguenay (Quebec) G7B 3L5",1,OK,945.767
Duplessis,MNA,Lorraine Richard,Lorraine,Richard,,Parti québécois,Lorraine.Richard.DUPL@assnat.qc.ca,legislature,1 418 643-2446,,constituency,"421, avenue Arnaud Bureau 202 Sept-Îles (Quebec) G4R 3B3",1 418 968-5044,33,"421 Avenue Arnaud Bureau 202, Sept-Îles, QC G4R 3B3, Canada",,50.2043941,-66.3868152,"50.20439409999999,-66.3868152",Ejw0MjEgQXZlbnVlIEFybmF1ZCBCdXJlYXUgMjAyLCBTZXB0LcOObGVzLCBRQyBHNFIgM0IzLCBDYW5hZGEiJhokChYKFAoSCWuVxxJH3pFMEYeywGguJfztEgpCdXJlYXUgMjAy,subpremise,G4R 3B3,"421, avenue Arnaud Bureau 202 Sept-Îles (Quebec) G4R 3B3",1,OK,1373.26
Fabre,MNA,Monique Sauvé,Monique,Sauvé,,Parti libéral du Québec,Monique.Sauve.FABR@assnat.qc.ca,legislature,1 418 263-0554,,constituency,"538, rue Principale Laval (Quebec) H7X 1C8",1 450 689-5516,34,"538 Rue Principale, Laval, QC H7X 1C8, Canada",,45.5303042,-73.8162411,"45.5303042,-73.8162411",ChIJKcQ60aIkyUwRAZjkNGSoVmo,street_address,H7X 1C8,"538, rue Principale Laval (Quebec) H7X 1C8",1,OK,610.126
Gaspé,MNA,Méganne Perry Mélançon,Méganne Perry,Mélançon,,Parti québécois,Meganne.PerryMelancon.GASP@assnat.qc.ca,legislature,1 418 263-0699,,constituency,"11, rue de la Cathédrale Bureau 102 Gaspé (Quebec) G4X 2V9",1 418 368-5827,35,"11 Rue de la Cathedrale Bureau 102, Gaspé, QC G4X 2V9, Canada",,48.8290903,-64.4870387,"48.8290903,-64.4870387",Ej4xMSBSdWUgZGUgbGEgQ2F0aGVkcmFsZSBCdXJlYXUgMTAyLCBHYXNww6ksIFFDIEc0WCAyVjksIENhbmFkYSImGiQKFgoUChIJzyOMhiK_m0wRazCOimyNtlcSCkJ1cmVhdSAxMDI,subpremise,G4X 2V9,"11, rue de la Cathédrale Bureau 102 Gaspé (Quebec) G4X 2V9",1,OK,1277.857
Gatineau,MNA,Robert Bussière,Robert,Bussière,,Coalition avenir Québec,Robert.Bussiere.GATI@assnat.qc.ca,legislature,1 581 628-1802,,constituency,"490, Route 105 Bureau 250 Chelsea (Quebec) J9B 1L2",1 819 827-3868,36,"490 Route 105 Bureau 250, Chelsea, QC J9B 1L2, Canada",,45.5055393,-75.7838447,"45.5055393,-75.7838447",EjU0OTAgUm91dGUgMTA1IEJ1cmVhdSAyNTAsIENoZWxzZWEsIFFDIEo5QiAxTDIsIENhbmFkYSImGiQKFgoUChIJ7xAaYHMdzkwRVqmT0yyca0kSCkJ1cmVhdSAyNTA,subpremise,J9B 1L2,"490, Route 105 Bureau 250 Chelsea (Quebec) J9B 1L2",1,OK,715.427
