District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Berthier,MNA,Caroline Proulx,Caroline,Proulx,,Coalition avenir Québec,Caroline.Proulx.BERH@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31001&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/proulx-caroline-17837/index.html,,https://www.facebook.com/pg/CarolineProulxCAQ,,https://twitter.com/caroaubureau,,,legislature,,1 418 528-8063,,constituency,,1 450 586-3171,
Bertrand,MNA,Nadine Girault,Nadine,Girault,,Coalition avenir Québec,Nadine.Girault.BERR@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31041&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/girault-nadine-17839/index.html,,https://www.facebook.com/NadineGiraultCAQ/,,https://twitter.com/NadineGirault,,,legislature,,1 418 649-2319,,constituency,,1 819 321-1676,
Blainville,MNA,Mario Laframboise,Mario,Laframboise,,Coalition avenir Québec,Mario.Laframboise.BLAI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7769&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/laframboise-mario-15357/index.html,,https://www.facebook.com/Mario.Laframboise.blainville/,,https://twitter.com/LaframboiseMa,,,legislature,,1 418 263-0613,,constituency,,1 450 430-8086,
Bonaventure,MNA,Sylvain Roy,Sylvain,Roy,,Parti québécois,Sylvain.Roy.BONA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_4819&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/roy-sylvain-12163/index.html,,https://www.facebook.com/SylvainRoyPQ/,,https://twitter.com/Roy_Bonaventure,,,legislature,,1 418 263-0359,,constituency,,1 418 364-6153,
Borduas,MNA,Simon Jolin-Barrette,Simon,Jolin-Barrette,,Coalition avenir Québec,sjb.BORD@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7835&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/jolin-barrette-simon-15359/index.html,,https://www.facebook.com/SimonJolinBarrette.Borduas/,,https://twitter.com/SJB_CAQ,,,legislature,,1 418 643-3804,,constituency,,1 450 464-5505,
Bourassa-Sauvé,MNA,Paule Robitaille,Paule,Robitaille,,Parti libéral du Québec,Paule.Robitaille.BOSA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31097&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/robitaille-paule-17841/index.html,,https://www.facebook.com/paule.robitaille.plq,,https://twitter.com/PauleRobitaille,,,legislature,,1 581 628-1182,,constituency,,1 514 328-6006,
Bourget,MNA,Richard Campeau,Richard,Campeau,,Coalition avenir Québec,Richard.Campeau.BOUR@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31069&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/campeau-richard-17843/index.html,,https://www.facebook.com/RichardCampeauCAQ/,,https://twitter.com/RcampeauCAQ,,,legislature,,1 418 263-0691,,constituency,,1 514 251-8126,
Brome-Missisquoi,MNA,Isabelle Charest,Isabelle,Charest,,Coalition avenir Québec,Isabelle.Charest.BRMI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31063&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/charest-isabelle-17845/index.html,,https://www.facebook.com/IsabelleCharestCAQ/,,https://twitter.com/isabellecharest,,,legislature,,1 418 266-3255,,constituency,,1 450 266-7410,
Chambly,MNA,Jean-François Roberge,Jean-François,Roberge,,Coalition avenir Québec,Jean-Francois.Roberge.CHMB@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7715&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/roberge-jean-francois-15361/index.html,,https://www.facebook.com/roberge.chambly/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 644-0664,,constituency,,1 450 658-5452,
Champlain,MNA,Sonia LeBel,Sonia,LeBel,,Coalition avenir Québec,Sonia.LeBel.CHMP@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31017&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lebel-sonia-17847/index.html,,https://www.facebook.com/SoniaLeBelCAQ/,,https://twitter.com/slebel19,,,legislature,,1 418 643-5926,,constituency,,1 819 694-4600,
Chapleau,MNA,Mathieu Lévesque,Mathieu,Lévesque,,Coalition avenir Québec,Mathieu.Levesque.CHAP@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31009&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/levesque-mathieu-17851/index.html,,https://www.facebook.com/MathieuLevesqueCAQ/,,https://twitter.com/mlevesquecaq,,,legislature,,1 418 528-0390,,constituency,,1 819 246-4558,
Charlesbourg,MNA,Jonatan Julien,Jonatan,Julien,,Coalition avenir Québec,Jonatan.Julien.CHLB@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31029&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/julien-jonatan-17855/index.html,,https://www.facebook.com/jonatanjulien,,https://twitter.com/coalitionavenir,,,legislature,,1 418 643-7295,,constituency,,1 418 644-9240,
Charlevoix-Côte-de-Beaupré,MNA,Émilie Foster,Émilie,Foster,,Coalition avenir Québec,Emilie.Foster.CHCB@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31049&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/foster-emilie-17861/index.html,,https://www.facebook.com/EmilieFosterCAQ/,,https://twitter.com/milie_foster,,,legislature,,1 418 263-0701,,constituency,,1 418 827-5115,
Chauveau,MNA,Sylvain Lévesque,Sylvain,Lévesque,,Coalition avenir Québec,Sylvain.Levesque.CHAU@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_4753&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/levesque-sylvain-12213/index.html,,https://www.facebook.com/LevesqueS.CAQ/,,https://twitter.com/sylvain_caq,,,legislature,,1 581 628-1796,,constituency,,1 418 842-3330,
Chicoutimi,MNA,Andrée Laforest,Andrée,Laforest,,Coalition avenir Québec,Andree.Laforest.CHIC@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31023&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/laforest-andree-17913/index.html,,https://www.facebook.com/AndreeLaforestCAQ/,,https://twitter.com/AndreeLaforest,,,legislature,,1 418 691-2050,,constituency,,1 418 543-7797,
Chomedey,MNA,Guy Ouellette,Guy,Ouellette,,Indépendant,Guy.Ouellette.CHOM@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_465&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/ouellette-guy-549/index.html,,https://www.facebook.com/go5129,,https://twitter.com/Guy0uellette,,,legislature,,1 418 644-4050,,constituency,,1 450 686-0166,
Chutes-de-la-Chaudière,MNA,Marc Picard,Marc,Picard,,Coalition avenir Québec,Marc.Picard.CDLC@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_641&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/picard-marc-655/index.html,,https://www.facebook.com/marcpicard01,,https://twitter.com/MarcPicardQc,,,legislature,,1 418 643-2750,,constituency,,1 418 834-0015,
Châteauguay,MNA,MarieChantal Chassé,MarieChantal,Chassé,,Coalition avenir Québec,MarieChantal.Chasse.CHAT@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31061&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/chasse-mariechantal-17865/index.html,,https://www.facebook.com/MarieChantalChasseCAQ/,,https://twitter.com/mariechantalcha,,,legislature,,1 418 266-1101 x72105,,constituency,,1 450 699-4136,
Côte-du-Sud,MNA,Marie-Eve Proulx,Marie-Eve,Proulx,,Coalition avenir Québec,Marie-Eve.Proulx.CDS@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_30999&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/proulx-marie-eve-17915/index.html,,https://www.facebook.com/MarieEveProulxCAQ/,,https://twitter.com/marieeveproulx_,,,legislature,,1 418 691-5650,,constituency,,1 418 234-1893,
D'Arcy-McGee,MNA,David Birnbaum,David,Birnbaum,,Parti libéral du Québec,David.Birnbaum.DMG@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7649&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/birnbaum-david-15371/index.html,,https://www.facebook.com/birnbaumdarcymcgee/,,https://twitter.com/DavidBirnbaum1,,,legislature,,1 418 528-1960,,constituency,,1 514 488-7028,
Deux-Montagnes,MNA,Benoit Charette,Benoit,Charette,,Coalition avenir Québec,Benoit.Charette.DEMO@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_553&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/charette-benoit-195/index.html,,https://www.facebook.com/Charette.DeMo/,,https://twitter.com/CharetteB,,,legislature,,1 418 521-3911,,constituency,,1 450 623-4963,
Drummond-Bois-Francs,MNA,Sébastien Schneeberger,Sébastien,Schneeberger,,Coalition avenir Québec,Sebastien.Schneeberger.DRUM@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_4897&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/schneeberger-sebastien-5909/index.html,,https://www.facebook.com/sebastien.schneeberger,,https://twitter.com/Sebastien_DBF,,,legislature,,1 418 644-1052,,constituency,,1 819 475-4343,
Dubuc,MNA,François Tremblay,François,Tremblay,,Coalition avenir Québec,Francois.Tremblay.DUBU@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_30981&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/tremblay-francois-17917/index.html,,https://www.facebook.com/FrancoisTremblayCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 263-0615,,constituency,,1 418 544-8106,
Duplessis,MNA,Lorraine Richard,Lorraine,Richard,,Parti québécois,Lorraine.Richard.DUPL@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_723&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/richard-lorraine-287/index.html,,https://www.facebook.com/LorraineRichardPQ/,,https://twitter.com/LrichardPq,,,legislature,,1 418 643-2446,,constituency,,1 418 968-5044,
Fabre,MNA,Monique Sauvé,Monique,Sauvé,,Parti libéral du Québec,Monique.Sauve.FABR@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_16709&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/sauve-monique-16493/index.html,,https://www.facebook.com/Monique.Sauve.fabre/,,https://twitter.com/Monique_Sauve,,,legislature,,1 418 263-0554,,constituency,,1 450 689-5516,
Gaspé,MNA,Méganne Perry Mélançon,Méganne Perry,Mélançon,,Parti québécois,Meganne.PerryMelancon.GASP@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31137&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/perry-melancon-meganne-18217/index.html,,,,,,,legislature,,1 418 263-0699,,constituency,,1 418 368-5827,
Gatineau,MNA,Robert Bussière,Robert,Bussière,,Coalition avenir Québec,Robert.Bussiere.GATI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31071&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/bussiere-robert-17921/index.html,,https://www.facebook.com/pg/RobertBussiereCAQ,,https://twitter.com/coalitionavenir,,,legislature,,1 581 628-1802,,constituency,,1 819 827-3868,
Gouin,MNA,Gabriel Nadeau-Dubois,Gabriel,Nadeau-Dubois,,Québec solidaire,Gabriel.Nadeau-Dubois.GOUI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_26027&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/nadeau-dubois-gabriel-16827/index.html,,https://www.facebook.com/GNadeauDubois/,,https://twitter.com/GNadeauDubois,,,legislature,,1 418 644-1467,,constituency,,1 514 864-6133,
Granby,MNA,François Bonnardel,François,Bonnardel,,Coalition avenir Québec,Francois.Bonnardel.GRAN@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_289&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/bonnardel-francois-11/index.html,,https://www.facebook.com/Bonnardel.coalition/,,https://twitter.com/fbonnardelCAQ,,,legislature,,1 418 643-6980,,constituency,,1 450 372-9152,
Groulx,MNA,Eric Girard,Eric,Girard,,Coalition avenir Québec,Eric.Girard.GROU@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31047&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/girard-eric-17929/index.html,,,,,,,legislature,,1 418 643-5270,,constituency,,1 450 430-7890,
Hochelaga-Maisonneuve,MNA,Alexandre Leduc,Alexandre,Leduc,,Québec solidaire,Alexandre.Leduc.HOCH@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31107&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/leduc-alexandre-17935/index.html,,https://www.facebook.com/LeducAlexandreQS/,,https://twitter.com/LeducAlexandre,,,legislature,,1 581 814-1286,,constituency,,1 514 873-9309,
Hull,MNA,Maryse Gaudreault,Maryse,Gaudreault,,Parti libéral du Québec,Maryse.Gaudreault.HULL@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_919&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/gaudreault-maryse-959/index.html,,https://www.facebook.com/maryse.gaudreault.14,,https://twitter.com/MGaudreaultHull,,,legislature,,1 418 644-1007,,constituency,,1 819 772-3000,
Huntingdon,MNA,Claire IsaBelle,Claire,IsaBelle,,Coalition avenir Québec,Claire.IsaBelle.HUNT@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31035&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/isabelle-claire-17939/index.html,,https://www.facebook.com/isabelle.coalition/,,https://twitter.com/IsaBelCoalition,,,legislature,,1 581 628-1806,,constituency,,1 450 427-2150,
Iberville,MNA,Claire Samson,Claire,Samson,,Coalition avenir Québec,Claire.Samson.IBER@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7641&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/samson-claire-15409/index.html,,https://www.facebook.com/clairesamsoncaq/,,https://twitter.com/clairesamsoncaq,,,legislature,,1 418 644-1475,,constituency,,1 450 346-1123,
Jacques-Cartier,MNA,Gregory Kelley,Gregory,Kelley,,Parti libéral du Québec,Gregory.Kelley.JACA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31093&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/kelley-gregory-17951/index.html,,,,https://twitter.com/gharperkelley,,,legislature,,1 581 628-1809,,constituency,,1 514 697-7663,
Jean-Lesage,MNA,Sol Zanetti,Sol,Zanetti,,Québec solidaire,Sol.Zanetti.JELE@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31113&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/zanetti-sol-17955/index.html,,https://www.facebook.com/sol.zanetti.3,,https://twitter.com/SolZanetti,,,legislature,,1 418 646-7635,,constituency,,1 418 648-6221,
