District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube
Fredericton North,MLA,Stephen Horsman,Stephen,Horsman,,New Brunswick Liberal Association,stephen.horsman@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Horsman_StephenP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Fredericton South,MLA,David Coon,David,Coon,,Green Party,david.coon@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Coon_DavidP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Fredericton West-Hanwell,MLA,Dominic Cardy,Dominic,Cardy,,Progressive Conservative Party of New Brunswick,dominic.cardy@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Cardy_DominicP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Fredericton-Grand Lake,MLA,Kris Austin,Kris,Austin,,People's Alliance,kris.austin@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Austin_KrisP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Fredericton-York,MLA,Rick DeSaulniers,Rick,DeSaulniers,,People's Alliance,rick.desaulniers@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/DeSaulniers_RickP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Fundy-The Isles-Saint John West,MLA,Andrea Anderson-Mason,Andrea,Anderson-Mason,,Progressive Conservative Party of New Brunswick,andrea.andersonmason@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/AndersonMason_AndreaP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Gagetown-Petitcodiac,MLA,Ross Wetmore,Ross,Wetmore,,Progressive Conservative Party of New Brunswick,ross.wetmore@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Wetmore_RossP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Hampton,MLA,Gary Crossman,Gary,Crossman,,Progressive Conservative Party of New Brunswick,gary.crossman@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Crossman_GaryP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Kent North,MLA,Kevin Arseneau,Kevin,Arseneau,,Green Party,kevin.a.arseneau@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Arseneau_KevinP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Kent South,MLA,Benoît Bourque,Benoît,Bourque,,New Brunswick Liberal Association,benoit.bourque@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Bourque_BenoitP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Kings Centre,MLA,Bill Oliver,Bill,Oliver,,Progressive Conservative Party of New Brunswick,bill.oliver@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Oliver_BillP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Madawaska Les Lacs-Edmundston,MLA,Francine Landry,Francine,Landry,,New Brunswick Liberal Association,francine.landry@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Landry_FrancineP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Memramcook-Tantramar,MLA,Megan Mitton,Megan,Mitton,,Green Party,megan.mitton@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Mitton_MeganP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Miramichi,MLA,Michelle Conroy,Michelle,Conroy,,People's Alliance,michelle.conroy@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Conroy_MichelleP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Miramichi Bay-Neguac,MLA,Lisa Harris,Lisa,Harris,,New Brunswick Liberal Association,lisa.harris@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Harris_LisaP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Moncton Centre,MLA,Robert McKee,Robert,McKee,,New Brunswick Liberal Association,robert.mckee@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/McKee_RobertP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Moncton East,MLA,Monique LeBlanc,Monique,LeBlanc,,New Brunswick Liberal Association,monique.a.leblanc@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/LeBlanc_MoniqueP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Moncton Northwest,MLA,Ernie Steeves,Ernie,Steeves,,Progressive Conservative Party of New Brunswick,ernie.steeves@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Steeves_ErnieP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Moncton South,MLA,Cathy Rogers,Cathy,Rogers,,New Brunswick Liberal Association,cathy.rogers@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Rogers_CathyP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Moncton Southwest,MLA,Sherry Wilson,Sherry,Wilson,,Progressive Conservative Party of New Brunswick,sherry.wilson@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Wilson_SherryP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
New Maryland-Sunbury,MLA,Jeff Carr,Jeff,Carr,,Progressive Conservative Party of New Brunswick,jeff.carr@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Carr_JeffP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Oromocto-Lincoln,MLA,Mary E. Wilson,Mary E.,Wilson,,Progressive Conservative Party of New Brunswick,mary.wilson@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Wilson_MaryP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Portland-Simonds,MLA,Trevor A. Holder,Trevor A.,Holder,,Progressive Conservative Party of New Brunswick,trevor.holder@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Holder_TrevorP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Quispamsis,MLA,Blaine Higgs,Blaine,Higgs,,Progressive Conservative Party of New Brunswick,blaine.higgs@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Higgs_BlaineP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Restigouche West,MLA,Gilles LePage,Gilles,LePage,,New Brunswick Liberal Association,gilles.lepage@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/LePage_GillesP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Restigouche-Chaleur,MLA,Daniel Guitard,Daniel,Guitard,,New Brunswick Liberal Association,daniel.guitard@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Guitard_DanielP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Riverview,MLA,R. Bruce Fitch,R. Bruce,Fitch,,Progressive Conservative Party of New Brunswick,bruce.fitch@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Fitch_BruceP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Rothesay,MLA,Hugh J. A. (Ted) Flemming,Hugh J. A. (Ted),Flemming,,Progressive Conservative Party of New Brunswick,hugh.flemming@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Flemming_TedP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Saint John East,MLA,Glen Savoie,Glen,Savoie,,Progressive Conservative Party of New Brunswick,glen.savoie@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Savoie_GlenP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Saint John Harbour,MLA,Gerry Lowe,Gerry,Lowe,,New Brunswick Liberal Association,gerry.lowe@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Lowe_GerryP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Saint John Lancaster,MLA,Dorothy Shephard,Dorothy,Shephard,,Progressive Conservative Party of New Brunswick,dorothy.shephard@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Shephard_DorothyP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Shediac-Beaubassin-Cap-Pelé,MLA,Jacques LeBlanc,Jacques,LeBlanc,,New Brunswick Liberal Association,jacques.j.leblanc@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/LeBlanc_JacquesP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Shippagan-Lamèque-Miscou,MLA,Robert Gauvin,Robert,Gauvin,,Independent,robert.gauvin@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Gauvin_RobertP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Southwest Miramichi-Bay du Vin,MLA,Jake Stewart,Jake,Stewart,,Progressive Conservative Party of New Brunswick,jake.stewart@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Stewart_JakeP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Sussex-Fundy-St. Martins,MLA,Bruce Northrup,Bruce,Northrup,,Progressive Conservative Party of New Brunswick,bruce.northrup@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Northrup_BruceP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Tracadie-Sheila,MLA,Keith Chiasson,Keith,Chiasson,,New Brunswick Liberal Association,keith.chiasson@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Chiasson_KeithP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Victoria-La Vallée,MLA,Chuck Chiasson,Chuck,Chiasson,,New Brunswick Liberal Association,chuck.chiasson@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Chiasson_ChuckP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
