District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube
Riel,MLA,Rochelle Squires,Rochelle,Squires,,Progressive Conservative Party of Manitoba,minmr@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/squires.jpg,http://www.gov.mb.ca/legislature/members/info/squires.html,,,,,,
River Heights,MLA,Jon Gerrard,Jon,Gerrard,,Independent Liberal,jon.gerrard@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/gerrard.jpg,http://www.gov.mb.ca/legislature/members/info/gerrard.html,,,,,,
Roblin,MLA,Myrna Driedger,Myrna,Driedger,,Progressive Conservative Party of Manitoba,Myrna.Driedger@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/driedger.jpg,http://www.gov.mb.ca/legislature/members/info/driedger.html,,,,,,
Rossmere,MLA,Andrew Micklefield,Andrew,Micklefield,,Progressive Conservative Party of Manitoba,Andrew.Micklefield@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/micklefield.jpg,http://www.gov.mb.ca/legislature/members/info/micklefield.html,,,,,,
Seine River,MLA,Janice Morley-Lecomte,Janice,Morley-Lecomte,,Progressive Conservative Party of Manitoba,Janice.Morley-Lecomte@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/morley-lecomte.jpg,http://www.gov.mb.ca/legislature/members/info/morley-lecomte.html,,,,,,
Selkirk,MLA,Alan Lagimodiere,Alan,Lagimodiere,,Progressive Conservative Party of Manitoba,Alan.Lagimodiere@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/lagimodiere.jpg,http://www.gov.mb.ca/legislature/members/info/lagimodiere.html,,,,,,
Southdale,MLA,Audrey Gordon,Audrey,Gordon,,Progressive Conservative Party of Manitoba,mlaaudreygordon@gmail.com,http://www.gov.mb.ca/legislature/img/mla/gordon.jpg,http://www.gov.mb.ca/legislature/members/info/gordon.html,,,,,,
Springfield-Ritchot,MLA,Ron Schuler,Ron,Schuler,,Progressive Conservative Party of Manitoba,minmi@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/schuler.jpg,http://www.gov.mb.ca/legislature/members/info/schuler.html,,,,,,
Spruce Woods,MLA,Cliff Cullen,Cliff,Cullen,,Progressive Conservative Party of Manitoba,minjus@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/cullen.jpg,http://www.gov.mb.ca/legislature/members/info/cullen.html,,,,,,
St. Boniface,MLA,Dougald Lamont,Dougald,Lamont,,Independent Liberal,Dougald.Lamont@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/lamont.jpg,http://www.gov.mb.ca/legislature/members/info/lamont.html,,,,,,
St. James,MLA,Adrien Sala,Adrien,Sala,,New Democratic Party of Manitoba,Adrien.Sala@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/sala.jpg,http://www.gov.mb.ca/legislature/members/info/sala.html,,,,,,
St. Johns,MLA,Nahanni Fontaine,Nahanni,Fontaine,,New Democratic Party of Manitoba,nahanni.fontaine@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/fontaine.jpg,http://www.gov.mb.ca/legislature/members/info/fontaine.html,,,,,,
St. Vital,MLA,Jamie Moses,Jamie,Moses,,New Democratic Party of Manitoba,Jamie.Moses@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/moses.jpg,http://www.gov.mb.ca/legislature/members/info/moses.html,,,,,,
Steinbach,MLA,Kelvin Goertzen,Kelvin,Goertzen,,Progressive Conservative Party of Manitoba,minedu@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/goertzen.jpg,http://www.gov.mb.ca/legislature/members/info/goertzen.html,,,,,,
Swan River,MLA,Rick Wowchuk,Rick,Wowchuk,,Progressive Conservative Party of Manitoba,rick.wowchuk@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/wowchuk.jpg,http://www.gov.mb.ca/legislature/members/info/wowchuk.html,,,,,,
The Maples,MLA,Mintu Sandhu,Mintu,Sandhu,,New Democratic Party of Manitoba,Mintu.Sandhu@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/sandhu.jpg,http://www.gov.mb.ca/legislature/members/info/sandhu.html,,,,,,
The Pas-Kameesak,MLA,Amanda Lathlin,Amanda,Lathlin,,New Democratic Party of Manitoba,Amanda.Lathlin@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/lathlin.jpg,http://www.gov.mb.ca/legislature/members/info/lathlin.html,,,,,,
Thompson,MLA,Danielle Adams,Danielle,Adams,,New Democratic Party of Manitoba,Danielle.Adams@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/adams.jpg,http://www.gov.mb.ca/legislature/members/info/adams.html,,,,,,
Transcona,MLA,Nello Altomare,Nello,Altomare,,New Democratic Party of Manitoba,Nello.Altomare@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/altomare.jpg,http://www.gov.mb.ca/legislature/members/info/altomare.html,,,,,,
Turtle Mountain,MLA,Doyle Piwniuk,Doyle,Piwniuk,,Progressive Conservative Party of Manitoba,Doyle.Piwniuk@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/piwniuk.jpg,http://www.gov.mb.ca/legislature/members/info/piwniuk.html,,,,,,
Tuxedo,MLA,Heather Stefanson,Heather,Stefanson,,Progressive Conservative Party of Manitoba,minfs@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/stefanson.jpg,http://www.gov.mb.ca/legislature/members/info/stefanson.html,,,,,,
Tyndall Park,MLA,Cindy Lamoureux,Cindy,Lamoureux,,Independent Liberal,Cindy.Lamoureux@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/lamoureux.jpg,http://www.gov.mb.ca/legislature/members/info/lamoureux.html,,,,,,
Union Station,MLA,Uzoma Asagwara,Uzoma,Asagwara,,New Democratic Party of Manitoba,Uzoma.Asagwara@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/asagwara.jpg,http://www.gov.mb.ca/legislature/members/info/asagwara.html,,,,,,
Waverley,MLA,Jon Reyes,Jon,Reyes,,Progressive Conservative Party of Manitoba,Jon.Reyes@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/reyes.jpg,http://www.gov.mb.ca/legislature/members/info/reyes.html,,,,,,
Wolseley,MLA,Lisa Naylor,Lisa,Naylor,,New Democratic Party of Manitoba,Lisa.Naylor@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/naylor.jpg,http://www.gov.mb.ca/legislature/members/info/naylor.html,,,,,,
